Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
72,Drei Mädchen und drei Jungen - The Brady Bunch,"Sherwood Schwartz, Frank Devol",1969,https://www.youtube.com/watch?v=K5StTXQofqs,eff7b7f4fdf6c3656749a2fb01a7c2047cd241e855b275fbf1c25f557d7c4b5b,The Brady Bunch Theme Song From All Seasons,USMC17251498
73,Greatest Showman (This Is Me),Keala Settle,2017,https://www.youtube.com/watch?v=CjxugyZCfuw,dfd6a738d268fda2f9bbfd606ece5fbec4ef56879ac3d0ce07fcdd4d9fdd61a7,The Greatest Showman Cast - This Is Me (Official Lyric Video),USAT21704622
74,Forrest Gump (Forrest Gump Suite),Alan Silvestri,1994,https://www.youtube.com/watch?v=FcOt6mfjxeA,38be182b55e73ae270583c834e8a798b857736747cdc6c5e9a8956baa27fe279,Forrest Gump Theme - Alan Silvestri,USLIC0601869
75,Coyote Ugly (Can't Fight The Moonlight),LeAnn Rimes,2000,https://www.youtube.com/watch?v=ghdT6gfGUOI,5eba82765c55883adea4e6190ea67e1b341b1c78c3f2592c25d9c87ca87b713f,LeAnn Rimes - Can't Fight The Moonlight (Lyrics),USCRB0000703
76,How I Met Your Mother,Hey Beautiful,2005,https://www.youtube.com/watch?v=-DUV2oAL11A,e900576dae6808f599e34cc901e4048e880ded2201a0342bca2ab15bccbaf170,How I met your Mother Intro,AUUS00628905
77,Die Stunde des Siegers,Vangelis,1981,https://www.youtube.com/watch?v=BaWrchi_x6k,58b5f9dd640d4b9e59fd72d8c34ba6b457908a730e61ad10768f108709348148,Vangelis - Titles [Chariots of Fire] [1981],NLA028100010
78,Chicago (Cell Block Tango),Catherine Zeta-Jones,2002,https://www.youtube.com/watch?v=B1qQCFQCneA,fd33638080e0096d221f55c3204b068e7511b6225e7a0381d5d032753854511d,Chicago - Cell Block Tango,USSM10213102
79,Transformers (What I've Done),Linkin Park,2007,https://www.youtube.com/watch?v=8sgycukafqQ,43670912e56e6e99ec422c41ebd1a9f72c8975e05a6017018bf35a77641e9b26,What I've Done (Official Music Video) [4K Upgrade] - Linkin Park,USWB10700721
80,Bad Boys,Inner Circle,1995,https://www.youtube.com/watch?v=Zd68AthoNIw,acc7743bd9b4014512ce2c2ec727f333cde474130ba060c6b3c371aa55337936,Inner Circle - Bad Boys (Video original),USA2P1004784
81,The Twilight Saga: Breaking Dawn (A thousand years),Christina Perri,2008,https://www.youtube.com/watch?v=rtOvBOTyX00,3ceaf48517fc35964f7b089d8462c72f03fd1d25f2c56cca58465d3b1a384588,Christina Perri - A Thousand Years [Official Music Video],USAT21102141
82,Dallas,Dominik Hauser,1978,https://www.youtube.com/watch?v=C8UZTj7MXto,8ea4f509f4157b1124dd47a7a86989f1bdbfe13fb0ec7989be59499174c31590,Dallas - Theme from the TV Series - Season 1,QMT281200490
