Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
109,Dancing In the Dark,Bruce Springsteen,1984,https://www.youtube.com/watch?v=129kuDCQtHs,4ac853f3ce1ead2aacbb4c19965824912b1256d848fad56d41a9c8c11102561c,Bruce Springsteen - Dancing In the Dark (Official Video),
110,Day-O (The Banana Boat Song),Harry Belafonte,1956,https://www.youtube.com/watch?v=YO7M0Hx_1D8,3aa3ea8f92208d8d33510adb6870a70dba08abc279b3d1c655a08a76f6254ee2,Day O (Banana Boat Song),
111,Ich will 'nen Cowboy als Mann,Gitte Haenning,1963,https://www.youtube.com/watch?v=zOcyefACvws,1d428b4239931dba3f72c2752e4e7126e547348fe37b54c2916aaf1376e9b769,Ich will 'Nen Cowboy Als Mann,
112,Break My Heart,Dua Lipa,2020,https://www.youtube.com/watch?v=Nj2U6rhnucI,d9e434efde0a04e878c73b356dac6822f82ea6cf7f6d8df172be0c64be3b618a,Dua Lipa - Break My Heart (Official Video),
113,Wrecking Ball,Miley Cyrus,2013,https://www.youtube.com/watch?v=My2FRPA3Gf8,65cb43cc6d82622bc75d273400f803e139d7fecdae4b7fbbee4b5963f63bfcba,Miley Cyrus - Wrecking Ball (Official Video),
114,Jailhouse Rock,Elvis Presley,1957,https://www.youtube.com/watch?v=PpsUOOfb-vE,02242b58761eecaa7e201aefe62d48e2dd19cd3c0dae307f2ae401ec30cfb58a,Elvis Presley - Jailhouse Rock (Official Audio),
115,Adore You,Harry Styles,2019,https://www.youtube.com/watch?v=VF-r5TtlT9w,e8998222d714f357acdc31576f39d67fd75abadb09cbb77de430365a3ea21ec1,Harry Styles - Adore You (Official Video),
116,Good Golly Miss Molly,Little Richard,1958,https://www.youtube.com/watch?v=ZVQV-1Fzl3w,344de94cd6857a876944c49a57f5375afa9630f92ac13638a62c01d652ce4da2,Little Richard - Good Golly Miss Molly,
117,The Ketchup Song ,Las Ketchup,2002,https://www.youtube.com/watch?v=V0PisGe66mY,2d2eaddd42a084ac2fc68b52eb9eb8c8e74e38bebcb6a9c166b976b5ac46bc88,Las Ketchup - The Ketchup Song (Asereje) (Spanish Version) (Official Video),
118,"Relax, Take It Easy",MIKA,2007,https://www.youtube.com/watch?v=RVmG_d3HKBA,07f03f7236980c1ed3a95cdfdb6c592b7949fa22b7d02a9ed4b76fffe1125ee9,"MIKA - Relax, Take It Easy",
119,I'm a Believer,The Monkees,1966,https://www.youtube.com/watch?v=4PQAqprjOuA,21d3dac8e7a7ac97bf491f7ff5ba02203dd8cdcfa9155e06c6053add1ec3896f,I'm a Believer,
